year,grade,president
1789,27.5,George Washington
1793,16.5,George Washington
1797,27.4,John Adams
1801,27.2,Thomas Jefferson
1805,22.9,Thomas Jefferson
1809,18.9,James Madison
1813,17.6,James Madison
1817,13.2,James Monroe
1821,15.3,James Monroe
1825,17.3,John Quincy Adams
1829,20.3,Andrew Jackson
1833,18.6,Andrew Jackson
1837,18.5,Martin van Buren
1841,18.3,William Henry Harrison
1845,15.8,James K. Polk
1849,22.6,Zachary Taylor
1853,16.0,Franklin Pierce
1857,15.7,James Buchanan
1861,12.6,Abraham Lincoln
1865,12.1,Andrew Johnson
1869,13.3,Ulysses S. Grant
1873,13.2,Rutherford B. Hayes
1877,19.6,James A. Garfield
1881,13.7,Chester Arthur
1885,18.7,Grover Cleveland
1889,14.4,Benjamin Harrison
1893,18.0,Grover Cleveland
1897,15.1,William McKinley
1901,11.7,Theodore Roosevelt
1905,13.6,Theodore Roosevelt
1909,16.5,William Howard Taft
1913,12.0,Woodrow Wilson
1917,11.0,Woodrow Wilson
1921,11.8,Warren G. Harding
1925,11.4,Calvin Coolidge
1929,12.2,Herbert Hoover
1933,10.7,Franklin D. Roosevelt
1937,9.4,Franklin D. Roosevelt
1941,9.5,Franklin D. Roosevelt
1945,7.1,Franklin D. Roosevelt
1949,10.9,Harry S. Truman
1953,10.5,Dwight D. Eisenhower
1957,7.3,Dwight D. Eisenhower
1961,10.2,John F. Kennedy
1965,7.3,Lyndon B. Johnson
1969,8.6,Richard Nixon
1973,10.5,Gerald Ford
1977,10.1,Jimmy Carter
1981,8.3,Ronald Reagan
1985,8.9,Ronald Reagan
1989,7.8,George Bush
1993,9.4,Bill Clinton
1997,8.2,Bill Clinton
2001,9.6,George W. Bush
2005,8.7,George W. Bush
2009,9.3,Barack Obama
2013,11.5,Barack Obama
2017,8.5,Donald Trump
